title,date,victim,malware_names,threat,impacts,location,data_source_link_url
Network Shutdown after Ransomware Attack at Synlab Italy,04/18/2024,Synlab Italia,,,IT,Italy,https://icsstrive.com/incident/network-shutdown-after-ransomware-attack-at-synlab-italy/
Plasma Donation Company Octapharma Shuts Down 180 Centers  Worldwide,04/15/2024,"Octapharma Group, Octapharma",,BlackSuit,OT IT,"Switzerland, United States",https://icsstrive.com/incident/plasma-donation-company-octapharma-shuts-down-180-centers-worldwide/
Remote Control Malware Targets South Korean Company’s Large Machine & Equipment Design Files,04/15/2024,Unidentified OEM manufacturer,,Andariel,IT,South Korea,https://icsstrive.com/incident/remote-control-malware-targets-south-korean-companys-large-machine-equipment-design-files/
Colorado Laboratory Faces Action Breach Lawsuits After Medusa Ransomware Hack,04/15/2024,Summit Pathology Laboratories,,Medusa,,United States,https://icsstrive.com/incident/colorado-laboratory-faces-action-breach-lawsuits-after-medusa-ransomware-hack/
Frontier Communications Hit in Attack,04/14/2024,Frontier Communications,,RansomHub RaaS,OT IT,United States,https://icsstrive.com/incident/frontier-communications-hit-in-attack/
Cloud Provider Snowflake Suffers Snowballing Data Breach,04/14/2024,Snowflake Inc,,,IT  Privacy,United States,https://icsstrive.com/incident/cloudprovider-snowflake-suffers-snowballing-data-breach/
"Nexperia, Chip Maker Suffers Cyberattack",04/10/2024,Nexperia,,Dunghill ransomware gang,IT,Netherlands,https://icsstrive.com/incident/nexperia-chip-maker-suffers-cyberattack/
"Popular Home Electronics Manufacturer, boAt, hit by Ransomware Attack",04/06/2024,boAt,,,IT  Privacy,India,https://icsstrive.com/incident/popular-home-electronics-manufacturer-boat-hit-by-ransomware-attack/
IT Systems Disrupted at Vietnamese Gasoline Retailer PVOIL,04/02/2024,PVOIL (Petrovietnam),,,IT,Vietnam,https://icsstrive.com/incident/it-systems-disrupted-at-vietnamese-gasoline-retailer-pvoil/
Emergency Services Communication System in Kansas down due to cyber incident,04/01/2024,"Kansas, US – Riley County",,,IT,United States,https://icsstrive.com/incident/emergency-services-communication-system-in-kansas-down-due-to-cyber-incident/
Cyberattack at NorthBay Health,04/01/2024,,,Embargo Ransomware Gang,,United States,https://icsstrive.com/incident/cyberattack-at-northbay-health/
Attack Shuts Down Production at Lens Maker Hoya,03/30/2024,Hoya Corp.,,,OT IT,Japan,https://icsstrive.com/incident/attack-shuts-down-production-at-lens-maker-hoya/
Northern Minerals Hit in Ransomware Attack,03/29/2024,Northern Minerals,,BianLian Ransomware Group,IT,Australia,https://icsstrive.com/incident/northern-minerals-hit-in-ransomware-attack/
Ransomware attack at Lewis Brothers Bakeries,03/25/2024,Lewis Brothers Bakeries Inc.,,,IT,United States,https://icsstrive.com/incident/ransomware-attack-at-lewis-brothers-bakeries/
8Base Leaked Data from German Engineering Company,03/25/2024,Ringhoffer Verzahnungstechnik,,8Base Ransomware Group,IT,Germany,https://icsstrive.com/incident/8base-leaked-data-from-german-engineering-company/
Crinetics Pharmaceuticals Investigating Cyberattack,03/22/2024,Crinetics,,LockBit,IT,United States,https://icsstrive.com/incident/crinetics-pharmaceuticals-investigating-cyberattack/
Ransomware Attack at India’s largest Wire and Cable Maker.,03/17/2024,Polycab India,,LockBit,IT,India,https://icsstrive.com/incident/ransomware-attack-at-indias-largest-wire-and-cable-maker/
"Ransomware Attack at Bira 91, Indian Craft Beer brand.",03/17/2024,Bira 91,,BianLian Ransomware Group,IT  Privacy,India,https://icsstrive.com/incident/ransomware-attack-at-bira-91-indian-craft-beer-brand/
Data Breach at Rubber and Plastic Manufacturer Lavelle Industries,03/17/2024,Lavelle Industries,,,IT  Privacy,United States,https://icsstrive.com/incident/data-breach-at-rubber-and-plastic-manufacturer-lavelle-industries/
AT&T Data Breach Exposes >70 Million Accounts,03/16/2024,AT&T,,,IT  Privacy,United States,https://icsstrive.com/incident/att-data-breach-exposes-70-million-accounts/
Operations Severely Disrupted at BerlinerLuft manufacturing,03/16/2024,BerlinerLuft. Technik GmbH,,,,Germany,https://icsstrive.com/incident/operations-severely-disrupted-at-berlinerluft-manufacturing/
Fujitsu Caught in Cyberattack,03/15/2024,Fujitsu,,,IT,Japan,https://icsstrive.com/incident/fujitsu-caught-in-cyberattack/
Radiant Logistics Isolates Canadian Operations after Cyberattack,03/14/2024,Radiant Logistics,,,,"Canada, United States",https://icsstrive.com/incident/radiant-logistics-isolates-canadian-operations-after-cyberattack/
Acer Confirms Employee Data on Hacker Platform,03/12/2024,Acer,,,IT  Privacy,"Philippines, Taiwan",https://icsstrive.com/incident/acer-confirms-employee-data-on-hacker-platform/
"FL Boat Builder, MarineMax, Hit in Cyberattack",03/10/2024,MarineMax,,,IT,United States,https://icsstrive.com/incident/fl-boat-builder-marinemax-hit-in-cyberattack/
Belgian Coffee Roaster Suffers Cyberattack,03/08/2024,Koffie Beyers,,,IT,Belgium,https://icsstrive.com/incident/belgian-coffee-roaster-suffers-cyberattack/
Cyberattack at Macedonian Electricity Transmission Operator (MEPSO),03/07/2024,MERPSO,,,IT,Macedonia (Rep. of N.),https://icsstrive.com/incident/cyberattack-at-macedonian-electricity-transmission-operator-mepso/
Prolonged effects of Cyberattack on City of Leicester almost Two Months after Initial Attack,03/07/2024,Leicester City Council.,,INC Ransom,OT IT,United Kingdom,https://icsstrive.com/incident/prolonged-effects-of-cyberattack-on-city-of-leicester-almost-two-months-after-initial-attack/
Belgian Duvel Brewery Halts Production after Ransomware Attack.,03/06/2024,Duvel Brewery,Ransomware – unknown,,OT IT,Belgium,https://icsstrive.com/incident/belgian-duvel-brewery-halts-production-after-ransomware-attack/
Cyberattack at Craft Beer Co.,03/05/2024,Craft Beer Company GP,,,IT,United States,https://icsstrive.com/incident/cyberattack-at-craft-beer-co/
DDoS Attack Disrupts Copenhagen Airport,02/25/2024,Copenhagen Airport,DDoS Attack,,IT,Denmark,https://icsstrive.com/incident/ddos-attack-disrupts-copenhagen-airport/
Cyberattack on a mechanical engineering company in Germany,02/24/2024,Kampf,,,IT,Germany,https://icsstrive.com/incident/cyber-attack-on-a-mechanical-engineering-company-in-germany/
Hackers Breach Systems at Steel giant ThyssenKrupp,02/23/2024,Thyssenkrupp AG,,,OT IT,Germany,https://icsstrive.com/incident/hackers-breach-systems-at-steel-giant-thyssenkrupp/
"Data Security Incident at Sierra Lobo (SLI), a US Aerospace Engineering Firm",02/23/2024,"Sierra Lobo, Inc. (SLI)",,,IT  Privacy,United States,https://icsstrive.com/incident/data-security-incident-at-sierra-lobo-sli-a-us-aerospace-engineering-firm/
International Paper takes Mill Operations Offline after Cyberattack,02/22/2024,,,,,United States,https://icsstrive.com/incident/international-paper-takes-operations-offline-after-cyberattack/
Change Healthcare Cyberattack Causes Widespread Disruptions at US Pharmacies,02/21/2024,"UnitedHealth Group Inc., Change Healthcare",LockBit,"RansomHub RaaS, BlackCat / ALPHV",IT,United States,https://icsstrive.com/incident/cyberattack-causes-widespread-disruptions-at-pharmacies-across-the-united-states/
Global Pharmaceutical Co. Cencora Reports Discovery of Data Breach,02/21/2024,Cencora,,,,United States,https://icsstrive.com/incident/global-pharmaceutical-co-cencora-reports-discovery-of-data-breach/
Continental Aerospace Discloses Cyberattack,02/20/2024,Continental Aerospace,,,,United States,https://icsstrive.com/incident/continental-aerospace-discloses-cyberattack/
Databreach at Telco Tangerine Impacts 230K Inidviduals,02/18/2024,Tangerine,,,IT  Privacy,Australia,https://icsstrive.com/incident/databreach-at-telco-tangerine-impacts-230k-inidviduals/
Hackers Attempt Communications Take Over on El Al Flights,02/17/2024,El AL airlines,,,IT Safety,Israel,https://icsstrive.com/incident/hackers-attempt-communications-take-over-on-el-al-flights/
Lockbit Demands $100K after Ransomware Attack at UAE Telecoms Group,02/16/2024,Etisalat,,LockBit,IT,United Arab Emirates,https://icsstrive.com/incident/lockbit-demands-100k-after-ransomware-attack-at-uae-telecoms-group/
"Ransomware Attack at German PSI Software, Critical Infrastructure Vendor",02/15/2024,PSI Software SE,,,IT,Germany,https://icsstrive.com/incident/ransomware-attack-at-german-psi-software-critical-infrastructure-vendor/
"Cyberattack at PSI Systems, a German Industrial Software Co.",02/15/2024,PSI Software SE,,,IT,Germany,https://icsstrive.com/incident/cyberattack-at-psi-systems-a-german-industrial-software-co/
SAS Scandinavian Airlines’ App Compromised by a Cyberattack,02/14/2024,Scandinavian Airlines (SAS),,,IT,"Denmark, Norway, Sweden",https://icsstrive.com/incident/sas-scandinavian-airlines-app-compromised-by-a-cyberattack/
Bimbo Bakeries USA Hit in Cyberattack,02/13/2024,"Bimbo Bakeries USA, Inc. and its affiliate Bimbo Foods Bakeries Distribution, LLC",,,IT,United States,https://icsstrive.com/incident/bimbo-bakeries-usa-hit-in-cyberattack/
"German Battery Maker, VARTA Group, Hit in Cyberattack",02/12/2024,VARTA Group,,,OT IT,Germany,https://icsstrive.com/incident/german-battery-maker-varta-group-hit-in-cyberattack/
Recovery Cost from Ransomware Attack Cost City of Hamilton Nearly $10M,02/12/2024,CIty of Hamilton,,,,Canada,https://icsstrive.com/incident/recovery-cost-from-ransomware-attack-cost-city-of-hamilton-nearly-10m/
More than 100 Hospital offline in Romania,02/11/2024,Hipocrate Information System (HIS),Backmydata ransomware,,,Romania,https://icsstrive.com/incident/more-than-100-hospital-offline-after-ransomware-attack-in-romania/
McKim & Creed Engineering Firm Suffers Cyberattack,02/11/2024,McKim & Creed,,,IT,United States,https://icsstrive.com/incident/mckim-creed-engineering-firm-suffers-cyberattack/
Cyberattack on Hearing Aid Manufacturer in Germany,02/06/2024,"Kind, hearing aid manufacturer",,,IT,Germany,https://icsstrive.com/incident/cyberattack-on-hearing-aid-manufacturer-in-germany/
"Hackers Attack Alzura, German Tire Trading Company",02/05/2024,Alzura Tyre24,,,IT,Germany,https://icsstrive.com/incident/hackers-attack-alzura-german-tire-trading-company/
Hacktivists Claim DDoS Attacks on stateowned airline FlyDubai,02/05/2024,,DDoS Attack,Anonymous Sudan,IT,United Arab Emirates,https://icsstrive.com/incident/hacktivists-claim-ddos-attacks-on-stateowned-airline-flydubai/
"FL Ship Builder, Eastern Shipbuilding Group, Suffers Cyberattack",02/04/2024,Eastern Shipbuilding Group,,,IT,United States,https://icsstrive.com/incident/fl-ship-builder-eastern-shipbuilding-group-suffers-cyberattack/
Operations Impacted at Top Pediatric Hospital in US,02/03/2024,Lurie Children’s Hospital,,,OT IT,United States,https://icsstrive.com/incident/operations-impacted-at-top-pediatric-hospital-in-us/
Weeks of Operational Shutdown at Welch Foods Plant,02/02/2024,Welch Food,,,,United States,https://icsstrive.com/incident/weeks-of-operational-shutdown-at-welch-foods-plant/
Phishing Attack Hits South African Railways,02/02/2024,Passenger Rail Agency of South Africa [PRASA],Phishing Attack,,IT,South Africa,https://icsstrive.com/incident/phishing-attack-hits-south-african-railways/
Southwest Binding & Laminating Hit by Ransomware Attack,02/01/2024,Southwest Plastic Binding Company,,,IT  Privacy,United States,https://icsstrive.com/incident/southwest-binding-laminating-hit-by-ransomware-attack/
British Engineering Company confirmed Employee Duped in Transfering HK$200m (£20m),02/01/2024,Arup,,,IT,United Kingdom,https://icsstrive.com/incident/british-engineering-company-confirmed-employee-duped-in-transfering-hk200m-20m/
Biggest Data Breach to-date in France Affects 50% of the Population,01/28/2024,"Viamedis, Almerys",,,IT  Privacy,France,https://icsstrive.com/incident/biggest-data-breach-to-date-in-france-affects-50-of-the-population/
Ransomware Attack at Iowa Water & Electric Utility Company,01/26/2024,Muscatine Power and Water,,,IT,United States,https://icsstrive.com/incident/ransomware-attack-at-iowa-water-electric-utility-company/
Ukranian Oil and Gas Company Naftogaz Hit by Cyberattack,01/25/2024,Naftogaz,,,IT,Ukraine,https://icsstrive.com/incident/ukranian-oil-and-gas-company-naftogaz-hit-by-cyberattack/
"Network Disruptions after Cyberattack on Israel’s Mobile Service Provider, Pelephone",01/25/2024,Pelephone,,Anonymous Sudan,IT,Israel,https://icsstrive.com/incident/network-disruptions-after-cyberattack-on-israels-mobile-service-provider-pelephone/
Black Basta Group Claims Ransomware Attack at UK Water Treatment Company,01/23/2024,Southern Water,,Black Basta Group,IT,United Kingdom,https://icsstrive.com/incident/black-basta-group-claims-ransomware-attack-at-uk-water-treatment-company/
Cyberattack Affects Communications at KCATA Transit,01/23/2024,KCATA – Kansas City Area Transportation Authority,,Medusa,IT,United States,https://icsstrive.com/incident/cyberattack-affects-communications-at-kcata-transit/
Malware caused Ukranian Energy Company to Disconnect Heating Services,01/22/2024,Lvivteploenergo,FrostyGoop,,,Ukraine,https://icsstrive.com/incident/malware-caused-ukranian-energy-company-to-disconnect-heating-services/
Akira Group Attacks Finnish Tietoevry Causing Disruption Across Swedish Businesses,01/19/2024,Tietoevry,,Akira Ransomware Gang,IT,"Finland, Sweden",https://icsstrive.com/incident/akira-group-attacks-finnish-tietoevry-causing-disruption-across-swedish-businesses/
Schneider Electric Sustainability Business Hit by Cactus Ransomware Gang,01/17/2024,,,Cactus ransomware gang,IT,"France, Global",https://icsstrive.com/incident/schneider-electric-sustainability-business-hit-by-cactus-ransomware-gang/
Taiwan Semiconductor Manufacturer Hit by Lockbit Ransomware Gang,01/17/2024,Foxsemicon (FITI),,LockBit,IT,,https://icsstrive.com/incident/taiwan-semiconductor-manufacturer-hit-by-lockbit-ransomware-gang/
Aviation Leasing Company Aercap Reports Ransomware Attack,01/17/2024,Aercap,,,IT,Ireland,https://icsstrive.com/incident/aviation-leasing-company-aercap-reports-ransomware-attack/
Cyberattack Targets Bazan Group’s Digital Infrastructure,01/17/2024,BAZAN Group,,Anonymous Sudan,IT,Israel,https://icsstrive.com/incident/cyberattack-targets-bazan-groups-digital-infrastructure/
Cactus Ransomware Group Claims they stole 1.5TB of Schneider Electric data,01/17/2024,Schneider Electric SE,,Cactus ransomware gang,IT,France,https://icsstrive.com/incident/cactus-ransomware-group-claims-they-stole-1-5tb-of-schneider-electric-data/
North Korean hackers attack South Korea’s construction sector,01/15/2024,Unidentified Construction Company Assoc.,,Kimsuky,IT,South Korea,https://icsstrive.com/incident/north-korean-hackers-attack-south-koreas-construction-sector/
Data Security Breach at Alkem Laboratories,01/13/2024,Alkem Laboratories,,,IT,India,https://icsstrive.com/incident/data-security-breach-at-alkem-laboratories/
Veolia Municipal Water Division Systems Impacted by Ransomware Attack,01/12/2024,Veolia group,,,IT,United States,https://icsstrive.com/incident/veolia-municipal-water-division-systems-impacted-by-ransomware-attack/
Framework Laptop Maker Suffers Cyberattack,01/09/2024,Framework,,,IT,United States,https://icsstrive.com/incident/framework-laptop-maker-suffers-cyberattack/
Cyberattack on Multiple Rural Texas Water Facilities,01/09/2024,"Muleshoe Texas Water Facility, Lockney Texas Water Facility, Hale Center Texas Water Facility, Abernathy Texas Water Facility",,Sandworm,OT IT,United States,https://icsstrive.com/incident/cyberattack-on-three-rural-texas-water-facilities/
German Railway Company Transdev Website Access Restricted,01/08/2024,Transdev,DDoS Attack,,IT,Germany,https://icsstrive.com/incident/german-railway-company-transdev-website-access-restricted/
"SelectBlinds, a Custom Wall Covering Provider, Suffers Cyberattack",01/07/2024,SelectBlinds,,,IT,United States,https://icsstrive.com/incident/selectblinds-a-custom-wall-covering-provider-suffers-cyberattack/
